ros_time_sec,ros_time_nsec,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,O_dP_EE_d_vx,O_dP_EE_d_vy,O_dP_EE_d_vz,O_dP_EE_d_wx,O_dP_EE_d_wy,O_dP_EE_d_wz,O_dP_EE_c_vx,O_dP_EE_c_vy,O_dP_EE_c_vz,O_dP_EE_c_wx,O_dP_EE_c_wy,O_dP_EE_c_wz
1762365594.000000000,661100625.000000000,0.557312076,0.305631906,0.158542633,0.992945823,-0.084252349,0.083168105,0.006193017,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1762365594.000000000,662871360.000000000,0.557349037,0.305457321,0.158504641,0.992938320,-0.084375534,0.083129269,0.006240153,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1762365594.000000000,663960933.000000000,0.557366874,0.305373917,0.158487295,0.992934560,-0.084436253,0.083110974,0.006260746,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1762365594.000000000,665678024.000000000,0.557402952,0.305201626,0.158449829,0.992926962,-0.084559616,0.083072955,0.006305181,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1762365594.000000000,667967796.000000000,0.557442701,0.305023543,0.158415372,0.992918983,-0.084685320,0.083036632,0.006352943,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1762365594.000000000,668529033.000000000,0.557455329,0.304940974,0.158393863,0.992915943,-0.084741065,0.083014206,0.006377780,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1762365594.000000000,670997619.000000000,0.557489207,0.304761638,0.158351880,0.992908422,-0.084867516,0.082971231,0.006426299,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1762365594.000000000,673005819.000000000,0.557526611,0.304578842,0.158311263,0.992900335,-0.084998150,0.082930588,0.006473618,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1762365594.000000000,673931837.000000000,0.557542168,0.304489762,0.158287894,0.992896809,-0.085060815,0.082906599,0.006498633,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1762365594.000000000,675687074.000000000,0.557577826,0.304315383,0.158251275,0.992889127,-0.085183586,0.082868906,0.006544820,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1762365594.000000000,678734540.000000000,0.557612723,0.304134592,0.158210068,0.992881299,-0.085311061,0.082827650,0.006594009,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
